,NID,Quarter,Herd,Lact,PI-M,Gest,DIM,AbCode,DCC,Ab_RxStat,TBred,Lact_xLame,Life_xLame,Lact_xMetabolic,Life_xMetabolic,Lact_xmast,Lact_qxmast,Life_xmast,TLSCC,TL150SCC,TL200SCC,TL_mean_logSCC,TL_sd_logSCC,LIFESCC,LIFE150SCC,LIFE200SCC,HRxCodes,AllRxCodes,Pregnant,DSLB,pre_num_tests_0to30,pre_num_tests_0to30_max,pre_num_tests_0to30_logmean,pre_num_tests_0to30_SCC>150,pre_num_tests_0to30_SCC>200,pre_num_tests_0to30_SCC>1000,pre_num_tests_31to60,pre_num_tests_31to60_max,pre_num_tests_31to60_logmean,pre_num_tests_31to60_SCC>150,pre_num_tests_31to60_SCC>200,pre_num_tests_31to60_SCC>1000,pre_num_tests_61to90,pre_num_tests_61to90_max,pre_num_tests_61to90_logmean,pre_num_tests_61to90_SCC>150,pre_num_tests_61to90_SCC>200,pre_num_tests_61to90_SCC>1000,pre_num_tests_g90,pre_num_tests_g90_max,pre_num_tests_g90_logmean,pre_num_tests_g90_SCC>150,pre_num_tests_g90_SCC>200,pre_num_tests_g90_SCC>1000,prelact_SCC_count,prelact_SCC_max,prelact_logSCC_mean,prelact_SCC>150,prelact_SCC>200,prelact_SCC>1000,Rx_Year,Rx_Month,Prev_AllRxCodes,pre_herd_mast_percent,pre_herd_fresh_mast_percent,pre_herd_greater14day_mast_percent,pre_herd_SCC_percent_g150,pre_herd_SCC__DIM_less31_percent_g150,pre_herd_SCC__DIM_more30_percent_g150,pre_herd_SCC_percent_g200,pre_herd_SCC__DIM_less31_percent_g200,pre_herd_SCC__DIM_more30_percent_g200
10,212017405,12.0,2K0054J,4,78,,60,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,2,1.0,1.0,1.0,7.5480289699350145,,1.0,1.0,1.0,61252,61252,0,,1.0,1897.0,7.5480289699350145,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2018,5,58491,2.793296089385475,,2.793296089385475,20.491803278688526,12.5,21.052631578947366,17.21311475409836,12.5,17.543859649122805
11,212017405,11.0,2K0054J,5,89,278.0,31,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,3,1.0,0.0,0.0,4.574710978503383,,7.0,3.0,2.0,58491,58491,0,,1.0,97.0,4.574710978503383,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,6.0,1897.0,5.32376734651859,3.0,2.0,1.0,2019,4,61252,1.4223194748358863,0.0,1.4623172103487065,19.12280701754386,19.230769230769234,19.10569105691057,13.859649122807017,17.94871794871795,13.211382113821138
12,213008193,99,2K0054J,7,101,,278,0,133.0,0,3.0,0.0,0.0,0.0,0.0,1,,1,7.0,7.0,7.0,6.465652274185528,0.766394091416082,29.0,12.0,12.0,86320,86320,1,133.0,1.0,588.0,6.376726947898627,1.0,1.0,0.0,1.0,2406.0,7.785720896534624,1.0,1.0,1.0,,,,,,,5.0,985.0,6.219423614973089,5.0,5.0,0.0,22.0,540.0,4.104878436584111,5.0,5.0,0.0,2021,5,9999999,0.6439742410303588,0.0,0.6451612903225806,20.32520325203252,16.666666666666664,20.464135021097047,14.227642276422763,16.666666666666664,14.135021097046414
13,213020132,21.0,2K0054J,4,65,,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,3,9999999,4.964539007092199,5.825242718446602,2.631578947368421,53.73134328358209,54.54545454545454,0.0,43.28358208955223,43.93939393939394,0.0
14,213020135,22.0,,7,86,278.0,242,0,151.0,0,1.0,0.0,0.0,0.0,0.0,1,1,1,4.0,3.0,3.0,5.269343964821073,1.0887531940391586,20.0,5.0,5.0,46337,46337,1,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,3,9999999,2.086330935251799,3.896103896103896,1.9801980198019802,28.71287128712871,,28.71287128712871,21.534653465346533,,21.534653465346533
15,213030547,12.0,2K0054J,4,84,,224,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,6.0,4.0,4.0,5.760601504697884,1.2968409093683684,6.0,4.0,4.0,58491,58491,0,,1.0,287.0,5.659482215759621,1.0,1.0,0.0,,,,,,,1.0,2690.0,7.897296472595885,1.0,1.0,1.0,4.0,588.0,5.251707584957949,2.0,2.0,0.0,,,,,,,2019,4,9999999,1.312910284463895,0.0,1.3605442176870748,19.12280701754386,19.230769230769234,19.10569105691057,13.859649122807017,17.94871794871795,13.211382113821138
16,213030547,11.0,2K0054J,4,84,,296,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1,2,7.0,5.0,5.0,5.78923062397294,1.186269083641118,7.0,5.0,5.0,58491,58491,0,,,,,,,,1.0,388.0,5.961005339623274,1.0,1.0,0.0,,,,,,,6.0,2690.0,5.760601504697884,4.0,4.0,1.0,,,,,,,2019,7,58491,0.7331378299120235,,0.7331378299120235,20.574162679425836,66.66666666666666,19.902912621359224,14.832535885167463,66.66666666666666,14.077669902912621
17,213030563,21.0,2K0054J,3,100,,17,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,0.0,5.030437921392435,,1.0,1.0,0.0,58491,58491,0,,1.0,153.0,5.030437921392435,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2018,3,9999999,6.382978723404255,7.526881720430108,4.166666666666666,53.73134328358209,54.54545454545454,0.0,43.28358208955223,43.93939393939394,0.0
18,213030563,21.0,2K0054J,3,100,,279,0,172.0,0,2.0,0.0,0.0,0.0,0.0,2,2,2,6.0,5.0,3.0,5.9452491214370795,1.0339031309598987,6.0,5.0,3.0,58491,58491,1,164.0,1.0,753.0,6.6240652277998935,1.0,1.0,0.0,,,,,,,1.0,137.0,4.919980925828125,0.0,0.0,0.0,4.0,1530.0,6.031862143748613,4.0,2.0,1.0,,,,,,,2018,12,58491,1.0845986984815619,,1.0845986984815619,15.632754342431761,100.0,15.422885572139302,11.41439205955335,100.0,11.194029850746269
19,213030563,21.0,2K0054J,5,92,277.0,34,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,3,,,,,,14.0,9.0,7.0,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,3786.0,5.689686244673247,9.0,7.0,3.0,2020,10,58491,1.056910569105691,1.9230769230769231,1.0186757215619695,16.565656565656568,16.666666666666664,16.52173913043478,12.525252525252526,14.000000000000002,11.884057971014492
20,213030566,99,2K0054J,5,86,703.0,324,0,61.0,0,7.0,0.0,0.0,0.0,0.0,1,,1,,,,,,,,,86320,86320,1,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,9,9999999,0.7063572149344097,1.25,0.5326231691078562,33.83838383838384,32.5,34.74576271186441,27.27272727272727,27.500000000000004,27.11864406779661
21,213030571,12.0,2K0054J,4,108,288.0,103,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1,1,1,2.0,0.0,0.0,3.9829463675422643,0.31359655676983406,15.0,0.0,0.0,58491,58491,0,15.0,,,,,,,1.0,43.0,3.7612001156935624,0.0,0.0,0.0,1.0,67.0,4.204692619390966,0.0,0.0,0.0,,,,,,,13.0,97.0,3.7117541272616283,0.0,0.0,0.0,2021,1,9999999,0.5328596802841918,0.0,0.5338078291814947,19.858156028368796,50.0,19.750889679715304,15.957446808510639,0.0,16.014234875444842
22,213030583,22.0,2K0054J,8,0,,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,22.0,6.0,4.0,46337,46337,0,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,604.0,4.358866306514645,6.0,4.0,0.0,2022,8,9999999,1.1687363038714391,2.912621359223301,0.6603773584905661,,,,,,
23,213030605,12.0,2K0054J,6,79,289.0,133,0,88.0,0,1.0,0.0,0.0,0.0,0.0,1,1,1,3.0,1.0,1.0,4.642740100588832,1.2332971149683674,12.0,4.0,3.0,58491,58491,1,88.0,1.0,53.0,3.970291913552122,0.0,0.0,0.0,,,,,,,1.0,49.0,3.8918202981106265,0.0,0.0,0.0,1.0,431.0,6.066108090103747,1.0,1.0,0.0,9.0,285.0,3.4315652739195297,3.0,2.0,0.0,2021,2,9999999,0.5676442762535477,,0.5676442762535477,17.1875,,17.1875,13.4765625,,13.4765625
24,213030605,99,2K0054J,7,80,285.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,2,,,,,,15.0,6.0,4.0,86320,86320,0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,480.0,4.068180849072234,6.0,4.0,0.0,2021,8,58491,0.22753128555176336,0.49019607843137253,0.14814814814814814,,,,,,
25,216018146,22.0,2K0054J,6,124,271.0,170,0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,46337,46337,0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,4,9999999,2.138275124732716,4.545454545454546,2.019446522064323,25.65217391304348,25.0,25.71428571428571,18.985507246376812,18.333333333333332,19.047619047619047
26,216018146,22.0,2K0054J,6,124,271.0,187,0,0.0,0,2.0,0.0,0.0,0.0,0.0,2,2,2,,,,,,,,,46337,46337,0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,4,46337,1.4134275618374559,10.526315789473683,1.1619462599854757,29.411764705882355,25.0,30.136986301369863,22.35294117647059,18.333333333333332,23.013698630136986
27,216018167,11.0,2K0054J,3,101,,44,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,0.0,0.0,4.653960350157523,,1.0,0.0,0.0,12001,12001,0,,1.0,105.0,4.653960350157523,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2018,11,9999999,1.3874066168623265,0.0,1.3978494623655915,12.815884476534295,13.432835820895523,12.410501193317423,10.649819494584838,11.940298507462686,10.023866348448687
28,216018177,12.0,2K0054J,7,81,,59,0,27.0,0,1.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,46337,46337,1,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,9999999,0.6648199445983379,,0.6648199445983379,16.605839416058394,0.0,16.63619744058501,13.686131386861314,0.0,13.711151736745887
29,216018220,21.0,2K0054J,5,83,281.0,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,11.0,0.0,0.0,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,88.0,3.761395884564483,0.0,0.0,0.0,2020,8,9999999,0.8988764044943821,2.3255813953488373,0.4444444444444444,33.33333333333333,,33.33333333333333,33.33333333333333,,33.33333333333333
30,216018221,22.0,2K0054J,7,90,,139,0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,1,1,4.0,4.0,4.0,7.037113265220561,1.1530112645497264,30.0,11.0,8.0,46337,46337,0,29.0,1.0,802.0,6.687108607866515,1.0,1.0,0.0,,,,,,,1.0,644.0,6.467698726104354,1.0,1.0,0.0,2.0,6283.0,7.496822863455687,2.0,2.0,1.0,27.0,3126.0,4.45839322702517,7.0,4.0,1.0,2023,2,9999999,0.315059861373661,0.0,0.31525851197982346,21.192052980132452,100.0,21.06135986733002,15.728476821192054,100.0,15.58872305140962
31,216018224,11.0,2K0054J,5,67,279.0,138,0,54.0,0,1.0,0.0,0.0,0.0,0.0,1,1,1,3.0,0.0,0.0,3.1883110499035303,0.7425151852539561,16.0,7.0,7.0,58491,58491,1,54.0,,,,,,,1.0,11.0,2.3978952727983707,0.0,0.0,0.0,1.0,48.0,3.871201010907891,0.0,0.0,0.0,1.0,27.0,3.295836866004329,0.0,0.0,0.0,13.0,1171.0,5.147944658712727,7.0,7.0,1.0,2021,1,9999999,0.7104795737122558,0.0,0.7117437722419928,19.858156028368796,50.0,19.750889679715304,15.957446808510639,0.0,16.014234875444842
32,216018224,99,2K0054J,7,99,286.0,315,0,188.0,0,2.0,0.0,0.0,0.0,0.0,1,,2,8.0,8.0,8.0,7.278672849973286,0.6046158169841146,36.0,25.0,25.0,46337,46337,1,188.0,,,,,,,1.0,2153.0,7.674617497364363,1.0,1.0,1.0,1.0,662.0,6.495265555937008,1.0,1.0,0.0,6.0,3650.0,7.343249957747486,6.0,6.0,4.0,28.0,1348.0,5.3619774909216815,17.0,17.0,4.0,2023,7,58491,0.5046257359125316,100.0,0.42087542087542085,,,,,,
33,217047039,11.0,2K0054J,1,111,,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,8,9999999,1.06951871657754,2.1739130434782608,0.7092198581560284,26.666666666666668,33.33333333333333,25.925925925925924,26.666666666666668,33.33333333333333,25.925925925925924
34,217047048,99,2K0054J,3,98,,144,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,4.0,2.0,2.0,6.196079865860688,2.0341772896788015,18.0,7.0,7.0,46337,46337,0,,1.0,7485.0,8.920656296853728,1.0,1.0,1.0,,,,,,,1.0,716.0,6.573680166960646,1.0,1.0,0.0,2.0,119.0,4.644991499814189,0.0,0.0,0.0,14.0,4936.0,4.859293908928403,5.0,5.0,3.0,2022,2,9999999,0.8507347254447023,,0.8507347254447023,22.76422764227642,,22.76422764227642,17.615176151761517,,17.615176151761517
35,217047050,12.0,2K0054J,1,106,,289,0,204.0,0,1.0,0.0,0.0,0.0,0.0,1,1,1,7.0,1.0,1.0,3.6186250676376956,0.8963202142791004,7.0,1.0,1.0,58491,58491,1,204.0,1.0,204.0,5.318119993844216,1.0,1.0,0.0,1.0,58.0,4.060443010546419,0.0,0.0,0.0,,,,,,,5.0,33.0,3.1903624938146473,0.0,0.0,0.0,,,,,,,2020,7,9999999,0.9966777408637874,,0.9966777408637874,16.151202749140893,40.0,15.734265734265735,10.996563573883162,40.0,10.48951048951049
36,217047050,11.0,2K0054J,1,106,,349,0,264.0,0,1.0,0.0,0.0,0.0,0.0,2,1,2,7.0,1.0,1.0,3.6186250676376956,0.8963202142791004,7.0,1.0,1.0,58491,58491,1,264.0,,,,,,,,,,,,,1.0,204.0,5.318119993844216,1.0,1.0,0.0,6.0,58.0,3.3353759132699423,0.0,0.0,0.0,,,,,,,2020,9,58491,1.007838745800672,2.5380710659898478,0.5747126436781609,33.33333333333333,,33.33333333333333,33.33333333333333,,33.33333333333333
37,217047077,21.0,2K0054J,2,94,278.0,85,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,11,9999999,1.221498371335505,0.0,1.2244897959183674,20.72829131652661,16.666666666666664,21.35922330097087,16.386554621848738,13.541666666666666,16.828478964401295
38,217047080,22.0,2K0054J,1,114,,42,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,8.852521917335372,,1.0,1.0,1.0,58491,58491,0,,1.0,6992.0,8.852521917335372,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2019,10,9999999,1.4406779661016949,1.7857142857142856,1.4234875444839856,11.947626841243862,20.0,10.371819960861057,9.819967266775777,13.0,9.197651663405088
39,217047085,21.0,2K0054J,1,94,,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,4,9999999,1.1013215859030838,11.11111111111111,1.0011123470522802,19.12280701754386,19.230769230769234,19.10569105691057,13.859649122807017,17.94871794871795,13.211382113821138
40,217047113,21.0,2K0054J,3,108,275.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,15.0,2.0,1.0,46337,46337,0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,306.0,4.00114536630564,2.0,1.0,0.0,2022,3,9999999,1.7358490566037734,10.714285714285714,1.1281224818694602,25.78125,,25.78125,19.53125,,19.53125
41,217047115,99,2K0054J,1,78,,112,0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,,1,2.0,0.0,0.0,3.389960953736126,0.5575235461900209,2.0,0.0,0.0,58491,58491,0,1.0,,,,,,,1.0,20.0,2.995732273553991,0.0,0.0,0.0,,,,,,,1.0,44.0,3.784189633918261,0.0,0.0,0.0,,,,,,,2019,12,9999999,0.7738607050730868,,0.7738607050730868,10.90289608177172,,10.90289608177172,8.17717206132879,,8.17717206132879
42,217047127,22.0,2K0054J,4,97,,102,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1,1,1,3.0,3.0,2.0,5.848251209853253,0.5923771044279759,19.0,4.0,2.0,46337,46337,0,21.0,1.0,414.0,6.025865973825314,1.0,1.0,0.0,,,,,,,1.0,179.0,5.187385805840755,1.0,0.0,0.0,1.0,562.0,6.331501849893691,1.0,1.0,0.0,16.0,163.0,3.9515411896120436,1.0,0.0,0.0,2022,12,9999999,0.7218212104386451,,0.7218212104386451,16.605839416058394,0.0,16.63619744058501,13.686131386861314,0.0,13.711151736745887
43,217047132,21.0,2K0054J,2,96,275.0,36,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,0.0,0.0,3.5553480614894135,,8.0,0.0,0.0,58491,58491,0,,1.0,35.0,3.5553480614894135,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,7.0,37.0,3.0460264999160396,0.0,0.0,0.0,2020,11,9999999,1.221498371335505,0.0,1.2244897959183674,20.72829131652661,16.666666666666664,21.35922330097087,16.386554621848738,13.541666666666666,16.828478964401295
44,218012323,12.0,2K0054J,5,95,,66,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,46337,46337,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,9999999,0.7218212104386451,,0.7218212104386451,16.605839416058394,0.0,16.63619744058501,13.686131386861314,0.0,13.711151736745887
45,219053342,22.0,2K0054J,2,77,282.0,11,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,9.0,0.0,0.0,46337,46337,0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,150.0,4.42633351881863,0.0,0.0,0.0,2022,9,9999999,1.4039566049776642,1.8957345971563981,1.3274336283185841,,,,,,
46,219053342,21.0,2K0054J,2,77,282.0,25,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1,2,1.0,1.0,1.0,7.3277805384216315,,10.0,1.0,1.0,46337,46337,0,,1.0,1522.0,7.3277805384216315,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,9.0,150.0,4.42633351881863,0.0,0.0,0.0,2022,9,46337,1.0957324106113033,0.5405405405405406,1.1620400258231116,25.46419098143236,37.333333333333336,17.62114537444934,20.954907161803714,32.0,13.656387665198238
47,220023407,21.0,2K0054J,1,93,,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,7.451241684987676,,1.0,1.0,1.0,46337,46337,0,,1.0,1722.0,7.451241684987676,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,10,9999999,1.0764262648008611,9.090909090909092,0.78125,22.131147540983605,30.078125,18.729096989966553,17.798594847775178,25.0,14.715719063545151
48,413081907,22.0,2K0054J,6,114,,327,0,207.0,0,1.0,0.0,0.0,0.0,0.0,1,1,1,5.0,0.0,0.0,3.605156917438687,0.5391801206959691,5.0,0.0,0.0,58491,58491,1,207.0,1.0,77.0,4.343805421853684,0.0,0.0,0.0,,,,,,,,,,,,,4.0,50.0,3.4204947913349377,0.0,0.0,0.0,,,,,,,2020,1,9999999,0.796812749003984,,0.796812749003984,16.091954022988507,,16.091954022988507,12.807881773399016,,12.807881773399016
49,413081910,99,2K0054J,8,93,281.0,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,,,,,,11.0,2.0,1.0,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,349.0,4.578873909671373,2.0,1.0,0.0,2020,9,9999999,1.4035087719298245,0.6711409395973155,1.513622603430878,15.945330296127564,16.216216216216218,15.807560137457044,12.072892938496583,13.513513513513514,11.34020618556701
50,413081910,99,2K0054J,9,65,281.0,32,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,2,1.0,1.0,1.0,7.098375638590786,,19.0,5.0,3.0,46337,46337,0,,1.0,1210.0,7.098375638590786,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,18.0,349.0,4.6126088289522365,4.0,2.0,0.0,2021,11,58491,1.518288474810214,,1.518288474810214,20.365535248041773,30.434782608695656,18.586789554531492,15.013054830287206,26.08695652173913,13.056835637480798
51,414121374,22.0,2K0054J,6,101,,33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,9,9999999,0.7200720072007201,0.7518796992481203,0.7157464212678937,23.015873015873016,22.702702702702705,23.88059701492537,17.46031746031746,16.216216216216218,20.8955223880597
52,414121374,21.0,2K0054J,6,101,,41,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,10,58491,0.8726003490401396,1.1494252873563218,0.84985835694051,15.749525616698293,21.890547263681594,11.96319018404908,12.523719165085389,15.422885572139302,10.736196319018406
