,NID,Quarter,Herd,Lact,M_Sys,HWI,ABV_M_Resist,PI-M,Gest,DIM,AbCode,DCC,Ab_RxStat,TBred,Lact_xLame,Life_xLame,Lact_xMetabolic,Life_xMetabolic,Lact_xmast,Lact_qxmast,Life_xmast,TLSCC,TL150SCC,TL200SCC,TL_mean_logSCC,TL_sd_logSCC,LIFESCC,LIFE150SCC,LIFE200SCC,Outcome_Mean_logSCC_next_lact,Outcome_Std_logSCC_next_lact,Outcome_Count_logSCC_next_lact,Outcome_Next_Lact_max_xmast,Outcome_failure_T,Outcome_failure_D,Outcome_Lact_mast_reoccur,Outcome_Recurred,Pregnant,Outcome_Sold,Outcome_num_tests_30to60,Outcome_num_tests_30to60_SCC<200,Outcome_num_tests_60to90,Outcome_num_tests_60to90_SCC<200,Outcome_num_tests_after90,Outcome_num_tests_after90_SCC<200,Outcome_num_tests_30to100,Outcome_30to100_mean_logSCC,Outcome_30to100_sd_mean_logSCC,Outcome_num_tests_30to150,Outcome_30to150_mean_logSCC,Outcome_30to150_sd_mean_logSCC,DSLB,Outcome_Failure,pre_num_tests_0to30,pre_num_tests_0to30_max,pre_num_tests_0to30_logmean,pre_num_tests_0to30_SCC>150,pre_num_tests_0to30_SCC>200,pre_num_tests_0to30_SCC>1000,pre_num_tests_31to60,pre_num_tests_31to60_max,pre_num_tests_31to60_logmean,pre_num_tests_31to60_SCC>150,pre_num_tests_31to60_SCC>200,pre_num_tests_31to60_SCC>1000,pre_num_tests_61to90,pre_num_tests_61to90_max,pre_num_tests_61to90_logmean,pre_num_tests_61to90_SCC>150,pre_num_tests_61to90_SCC>200,pre_num_tests_61to90_SCC>1000,pre_num_tests_g90,pre_num_tests_g90_max,pre_num_tests_g90_logmean,pre_num_tests_g90_SCC>150,pre_num_tests_g90_SCC>200,pre_num_tests_g90_SCC>1000,prelact_SCC_count,prelact_SCC_max,prelact_logSCC_mean,prelact_SCC>150,prelact_SCC>200,prelact_SCC>1000,Rx_Year,Rx_Month,Prev_AllRxCodes,Outcome_Sold100,Outcome_Rec100,Outcome_Shortloss,Outcome_Longloss,pre_herd_mast_percent,pre_herd_fresh_mast_percent,pre_herd_greater14day_mast_percent,pre_herd_SCC_percent_g150,pre_herd_SCC__DIM_less31_percent_g150,pre_herd_SCC__DIM_more30_percent_g150,pre_herd_SCC_percent_g200,pre_herd_SCC__DIM_less31_percent_g200,pre_herd_SCC__DIM_more30_percent_g200
11,200024029,12,2G0064V,8,10.0,138.0,103.845,107,285.0,84,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,2,5,,,,,,4.0,2.0,2.0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,412.0,5.062179100792372,2.0,2.0,0.0,2010,11,58491,0,0.0,0.0,0.0,8.858057630736393,31.25,8.469055374592834,21.764705882352942,20.51282051282051,21.99074074074074,17.058823529411764,19.230769230769234,16.666666666666664
12,200024037,300,2G0064V,5,11.0,-77.0,99.97,0,279.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,6,,,,,,3.0,2.0,2.0,7.4067107301776405,99.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,645.0,5.589384213862188,2.0,2.0,0.0,2009,8,9999999,0,0.0,0.0,0.0,20.27027027027027,34.74178403755869,6.926406926406926,,,,,,
13,200024038,300,2G0064V,7,,,,0,285.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,8.0,1.0,1.0,4.0943445622221,99.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,533.0,4.504096464982902,1.0,1.0,0.0,2009,8,9999999,0,0.0,0.0,0.0,20.27027027027027,34.74178403755869,6.926406926406926,,,,,,
14,200024044,12,2G0064V,4,,,,97,,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,1,0,0,0,0,0,0,0.0,0.0,1.0,1.0,2.0,2.0,1,3.912023005428146,99.0,2.0,4.3974124640072585,0.6864443553555141,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,10,9999999,0,0.0,0.0,,0.36496350364963503,1.4492753623188406,0.0,10.655737704918032,20.0,5.194805194805195,8.19672131147541,15.555555555555555,3.896103896103896
15,200024044,12,2G0064V,5,,,,0,,78,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,3.0,0.0,0.0,,,,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135.0,4.566699902150982,0.0,0.0,0.0,2008,10,46337,0,0.0,0.0,,3.7914691943127963,5.555555555555555,3.7398373983739837,,,,,,
16,200024044,99,2G0064V,6,,,,0,270.0,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,3,,,,,,3.0,0.0,0.0,,,,,0,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135.0,4.566699902150982,0.0,0.0,0.0,2009,10,58491,0,0.0,0.0,0.0,7.985257985257984,9.67741935483871,7.845744680851063,,,,,,
17,200024044,12,2G0064V,6,,,,0,270.0,286,0,15.0,0,0.0,0.0,0.0,0.0,0.0,2,1,4,,,,,,3.0,0.0,0.0,,,,,0,0,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135.0,4.566699902150982,0.0,0.0,0.0,2010,7,58491,0,1.0,,0.0,2.770780856423174,25.0,2.5445292620865136,,,,,,
18,200024044,12,2G0064V,6,,,,0,270.0,319,0,48.0,0,0.0,0.0,0.0,0.0,0.0,3,2,5,,,,,,3.0,0.0,0.0,,,,,0,0,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135.0,4.566699902150982,0.0,0.0,0.0,2010,9,58491,0,1.0,,0.0,13.492063492063492,18.857142857142858,11.428571428571429,,,,,,
19,200024044,12,2G0064V,6,,,,0,270.0,333,0,62.0,0,0.0,0.0,0.0,0.0,0.0,4,3,6,,,,,,3.0,0.0,0.0,,,,,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135.0,4.566699902150982,0.0,0.0,0.0,2010,9,58491,0,0.0,0.0,0.0,15.342465753424658,14.285714285714285,15.52,,,,,,
21,200024062,11,2G0064V,7,,,,0,,211,0,92.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,5.0,5.0,4.0,,,,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,332.0,5.395289954619191,5.0,4.0,0.0,2009,2,9999999,0,0.0,0.0,0.0,3.7606837606837606,0.0,3.767123287671233,,,,,,
22,200024070,99,2G0064V,5,,,,0,278.0,247,0,80.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,,,,,,3.0,3.0,2.0,,,,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,420.0,5.584742645596907,3.0,2.0,0.0,2009,4,9999999,0,0.0,0.0,,4.2748091603053435,15.0,3.577235772357724,,,,,,
23,200024070,12,2G0064V,6,,,,0,239.0,258,0,139.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,3.0,3.0,2.0,7.034387929915503,99.0,1.0,3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,420.0,5.584742645596907,3.0,2.0,0.0,2010,6,59528,0,0.0,0.0,1.0,1.0101010101010102,100.0,0.8849557522123894,17.80821917808219,0.0,19.11764705882353,13.698630136986301,0.0,14.705882352941178
24,200024070,12,2G0064V,7,,,,96,262.0,11,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,3,,,,,,3.0,3.0,2.0,,,,,1,1,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,420.0,5.584742645596907,3.0,2.0,0.0,2010,10,59528,0,1.0,,0.0,8.524590163934425,17.82178217821782,7.371007371007371,,,,,,
25,200024070,12,2G0064V,7,,,,96,262.0,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,4,1.0,1.0,1.0,7.034387929915503,99.0,4.0,4.0,3.0,,,,,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,1.0,1135.0,7.034387929915503,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,3.0,420.0,5.584742645596907,3.0,2.0,0.0,2010,10,"58491, 59528",0,1.0,,0.0,9.711846318036287,19.230769230769234,9.440175631174535,21.764705882352942,20.51282051282051,21.99074074074074,17.058823529411764,19.230769230769234,16.666666666666664
26,200024070,12,2G0064V,7,,,,96,262.0,43,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3,5,1.0,1.0,1.0,7.034387929915503,99.0,4.0,4.0,3.0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,1.0,1135.0,7.034387929915503,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,3.0,420.0,5.584742645596907,3.0,2.0,0.0,2010,11,58491,0,0.0,0.0,0.0,6.296691568836713,66.66666666666666,6.102783725910064,21.764705882352942,20.51282051282051,21.99074074074074,17.058823529411764,19.230769230769234,16.666666666666664
27,200024081,22,2G0064V,5,,,,90,273.0,111,0,54.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,6.705639094860003,99.0,4.0,2.0,1.0,,,,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.8916442118257715,99.0,1.0,5.8916442118257715,99.0,,0,,,,,,,1.0,817.0,6.705639094860003,1.0,1.0,0.0,,,,,,,,,,,,,3.0,153.0,3.7449985613203753,1.0,0.0,0.0,2007,12,9999999,0,0.0,0.0,,3.5377358490566038,0.0,3.546099290780142,,,,,,
28,200024081,21,2G0064V,6,,,,0,272.0,339,0,19.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,6.0,4.0,3.0,6.142037405587356,99.0,1.0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,817.0,4.883389855297005,4.0,3.0,0.0,2009,7,58491,0,0.0,0.0,1.0,3.917525773195876,0.0,3.941908713692946,,,,,,
29,200024081,12,2G0064V,7,,,,87,278.0,319,0,233.0,0,0.0,0.0,0.0,0.0,0.0,1,1,3,1.0,1.0,1.0,6.142037405587356,99.0,7.0,5.0,4.0,,,,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,1.0,465.0,6.142037405587356,1.0,1.0,0.0,6.0,817.0,4.883389855297005,4.0,3.0,0.0,2011,2,59528,0,0.0,0.0,0.0,2.356902356902357,0.0,2.3728813559322033,43.58108108108108,,43.58108108108108,32.432432432432435,,32.432432432432435
30,200024090,21,2G0064V,5,,,,80,,15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,3.8265102069020944,0.09236241674692985,2.0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,2.0,2.0,1,4.48863636973214,99.0,2.0,4.742924321748127,0.3596174704890884,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,10,9999999,0,0.0,0.0,0.0,0.7272727272727273,2.4390243902439024,0.4273504273504274,10.655737704918032,20.0,5.194805194805195,8.19672131147541,15.555555555555555,3.896103896103896
31,200024090,22,2G0064V,7,,,,0,294.0,32,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,5.0,0.0,0.0,,,,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,148.0,4.3321315268698966,0.0,0.0,0.0,2008,10,38696,0,1.0,,0.0,2.1172638436482085,10.9375,1.090909090909091,,,,,,
32,200024090,22,2G0064V,7,,,,0,294.0,70,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,3,,,,,,5.0,0.0,0.0,,,,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,148.0,4.3321315268698966,0.0,0.0,0.0,2008,11,58491,0,1.0,,0.0,3.0959752321981426,0.0,3.125,,,,,,
33,200024090,12,2G0064V,7,,,,0,294.0,133,0,24.0,0,0.0,0.0,0.0,0.0,0.0,3,1,4,,,,,,5.0,0.0,0.0,,,,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,148.0,4.3321315268698966,0.0,0.0,0.0,2009,1,59528,0,0.0,0.0,0.0,3.7037037037037033,,3.7037037037037033,,,,,,
35,200024093,22,2G0064V,5,,,,100,270.0,48,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,5.0,2.0,1.0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,378.0,4.905980989768695,2.0,1.0,0.0,2010,6,58491,0,0.0,0.0,0.0,2.635658914728682,0.0,2.639751552795031,,,,,,
36,200024096,300,2G0064V,5,,,,111,,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,1,0,0,3,1,0,0,0.0,0.0,0.0,0.0,3.0,0.0,,,,1.0,7.3864708488298945,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,8,9999999,0,1.0,,,1.2195121951219512,2.4691358024691357,0.6060606060606061,,,,,,
37,200024096,12,2G0064V,5,,,,111,,103,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1,2,,,,,,,,,,,,1,0,0,2,1,0,0,1.0,0.0,0.0,0.0,2.0,0.0,2,7.176247517968004,0.2973006856321324,2.0,7.176247517968004,0.2973006856321324,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,12,46337,0,1.0,1.0,,2.358490566037736,16.666666666666664,2.15311004784689,33.557046979865774,28.57142857142857,33.80281690140845,24.832214765100673,14.285714285714285,25.352112676056336
38,200024096,12,2G0064V,5,,,,111,,129,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,2,3,,,,,,,,,,,,1,0,0,1,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1,6.966024187106113,99.0,2.0,7.104768580885797,0.19621420338646295,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,12,38696,0,1.0,1.0,,4.25531914893617,0.0,4.265402843601896,,,,,,
39,200024096,11,2G0064V,5,,,,111,,137,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,1,4,,,,,,,,,,,,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1,6.966024187106113,99.0,2.0,7.104768580885797,0.19621420338646295,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,1,59528,0,0.0,0.0,,3.309692671394799,,3.309692671394799,,,,,,
40,200024096,21,2G0064V,6,,,,0,,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,5,,,,,,3.0,3.0,3.0,5.4116460518550396,99.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1614.0,7.198669336867162,3.0,3.0,3.0,2008,9,58491,0,0.0,0.0,0.0,1.9064124783362217,8.19672131147541,1.1627906976744187,,,,,,
41,200024098,99,2G0064V,6,,,,0,,212,0,4.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,,,,,,5.0,1.0,1.0,,,,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,294.0,4.668767397034043,1.0,1.0,0.0,2009,6,9999999,0,0.0,0.0,,4.318936877076411,0.0,4.326123128119801,,,,,,
42,200024098,22,2G0064V,7,,,,100,277.0,32,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,5.0,1.0,1.0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,294.0,4.668767397034043,1.0,1.0,0.0,2010,4,58491,0,0.0,0.0,0.0,5.781057810578106,16.0,5.456852791878172,,,,,,
43,200024103,99,2G0064V,5,,,,120,488.0,483,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,4.0,2.0,2.0,5.191757519502774,0.9306534594821433,5.0,2.0,2.0,,,,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,4.0,579.0,5.191757519502774,2.0,2.0,0.0,1.0,91.0,4.51085950651685,0.0,0.0,0.0,2008,8,9999999,0,0.0,0.0,,9.308510638297872,4.477611940298507,11.983471074380166,,,,,,
44,200024103,11,2G0064V,6,,,,0,,174,0,43.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,5.0,2.0,2.0,,,,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,579.0,5.055577916905589,2.0,2.0,0.0,2009,2,58491,0,0.0,0.0,,3.7606837606837606,0.0,3.767123287671233,,,,,,
46,200024117,11,2G0064V,4,,,,100,,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,0.0,5.2832037287379885,99.0,1.0,1.0,0.0,,,,2,0,0,1,1,0,0,0.0,0.0,0.0,0.0,3.0,0.0,,,,1.0,5.786897381366708,99.0,,0,1.0,197.0,5.2832037287379885,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2007,9,9999999,0,0.0,0.0,,3.2362459546925564,6.349206349206349,2.4390243902439024,31.097560975609756,29.268292682926827,32.926829268292686,19.51219512195122,17.073170731707318,21.951219512195124
47,200024117,11,2G0064V,4,,,,100,,148,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,2,2.0,2.0,1.0,5.535050555052348,0.3561651974143887,2.0,2.0,1.0,,,,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,6.759255270663693,99.0,2.0,6.7318348128139,0.03877838337765701,,0,1.0,326.0,5.786897381366708,1.0,1.0,0.0,,,,,,,,,,,,,1.0,197.0,5.2832037287379885,1.0,0.0,0.0,,,,,,,2008,1,46337,0,0.0,0.0,,2.9268292682926833,,2.9268292682926833,31.25,,31.25,21.09375,,21.09375
48,200024117,11,2G0064V,5,,,,0,,21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,3,,,,,,4.0,4.0,3.0,,,,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,862.0,6.133442683933124,4.0,3.0,0.0,2008,12,58491,0,1.0,,0.0,2.1638330757341575,0.0,2.1671826625387,,,,,,
49,200024117,22,2G0064V,5,,,,0,,89,0,43.0,0,0.0,0.0,0.0,0.0,0.0,2,1,4,,,,,,4.0,4.0,3.0,,,,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,862.0,6.133442683933124,4.0,3.0,0.0,2009,2,59528,0,0.0,0.0,0.0,3.7606837606837606,0.0,3.767123287671233,,,,,,
