,NID,Quarter,Herd,Lact,M_Sys,HWI,ABV_M_Resist,PI-M,Gest,DIM,AbCode,DCC,Ab_RxStat,TBred,Lact_xLame,Life_xLame,Lact_xMetabolic,Life_xMetabolic,Lact_xmast,Lact_qxmast,Life_xmast,TLSCC,TL150SCC,TL200SCC,TL_mean_logSCC,TL_sd_logSCC,LIFESCC,LIFE150SCC,LIFE200SCC,Outcome_Mean_logSCC_next_lact,Outcome_Std_logSCC_next_lact,Outcome_Count_logSCC_next_lact,Outcome_Next_Lact_max_xmast,Outcome_failure_T,Outcome_failure_D,Outcome_Lact_mast_reoccur,Outcome_Recurred,Pregnant,Outcome_Sold,Outcome_num_tests_30to60,Outcome_num_tests_30to60_SCC<200,Outcome_num_tests_60to90,Outcome_num_tests_60to90_SCC<200,Outcome_num_tests_after90,Outcome_num_tests_after90_SCC<200,Outcome_num_tests_30to100,Outcome_30to100_mean_logSCC,Outcome_30to100_sd_mean_logSCC,Outcome_num_tests_30to150,Outcome_30to150_mean_logSCC,Outcome_30to150_sd_mean_logSCC,DSLB,Outcome_Failure,pre_num_tests_0to30,pre_num_tests_0to30_max,pre_num_tests_0to30_logmean,pre_num_tests_0to30_SCC>150,pre_num_tests_0to30_SCC>200,pre_num_tests_0to30_SCC>1000,pre_num_tests_31to60,pre_num_tests_31to60_max,pre_num_tests_31to60_logmean,pre_num_tests_31to60_SCC>150,pre_num_tests_31to60_SCC>200,pre_num_tests_31to60_SCC>1000,pre_num_tests_61to90,pre_num_tests_61to90_max,pre_num_tests_61to90_logmean,pre_num_tests_61to90_SCC>150,pre_num_tests_61to90_SCC>200,pre_num_tests_61to90_SCC>1000,pre_num_tests_g90,pre_num_tests_g90_max,pre_num_tests_g90_logmean,pre_num_tests_g90_SCC>150,pre_num_tests_g90_SCC>200,pre_num_tests_g90_SCC>1000,prelact_SCC_count,prelact_SCC_max,prelact_logSCC_mean,prelact_SCC>150,prelact_SCC>200,prelact_SCC>1000,Rx_Year,Rx_Month,Prev_AllRxCodes,Outcome_Sold100,Outcome_Rec100,Outcome_Shortloss,Outcome_Longloss,pre_herd_mast_percent,pre_herd_fresh_mast_percent,pre_herd_greater14day_mast_percent,pre_herd_SCC_percent_g150,pre_herd_SCC__DIM_less31_percent_g150,pre_herd_SCC__DIM_more30_percent_g150,pre_herd_SCC_percent_g200,pre_herd_SCC__DIM_less31_percent_g200,pre_herd_SCC__DIM_more30_percent_g200
29,210029116,99,2K0084M,5,,,,0,284.0,414,0,209.0,0,0.0,0.0,0.0,0.0,0.0,2,,2,1.0,1.0,1.0,6.466144724237619,99.0,3.0,3.0,3.0,,,,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,1.0,643.0,6.466144724237619,1.0,1.0,0.0,2.0,1036.0,6.4987808845443995,2.0,2.0,1.0,2017,6,49851,0,0.0,0.0,0.0,8.99581589958159,0.0,9.148936170212766,,,,,,
30,210029144,12,2K0084M,4,,,,0,,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,1,1,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,3,9999999,0,0.0,0.0,0.0,10.0,25.0,0.0,,,,,,
31,210029144,22,2K0084M,4,,,,0,,13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,1,1,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,4,51755,0,,0.0,0.0,15.384615384615385,33.33333333333333,0.0,,,,,,
39,210029321,99,2K0084M,4,,,,0,285.0,421,0,206.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,3.0,3.0,3.0,6.457453954212312,1.2485069268762468,6.0,3.0,3.0,5.806638729448466,0.002126638538884172,2.0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,3.0,2665.0,6.457453954212312,3.0,3.0,1.0,3.0,96.0,3.8892234179979823,0.0,0.0,0.0,2017,6,9999999,0,0.0,0.0,1.0,14.003590664272892,5.555555555555555,14.285714285714285,,,,,,
43,210029340,300,2K0084M,4,,,,0,,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,4,9999999,0,0.0,0.0,,2.3890784982935154,10.416666666666668,0.8163265306122449,18.620689655172416,,18.620689655172416,10.344827586206897,,10.344827586206897
44,210029340,99,2K0084M,5,,,,0,289.0,24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,2,,,,,,2.0,1.0,1.0,,,,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,590.0,5.193727861066118,1.0,1.0,0.0,2016,5,51755,0,0.0,0.0,,19.841269841269842,40.0,16.76829268292683,25.142857142857146,29.166666666666668,23.62204724409449,20.57142857142857,20.833333333333336,20.47244094488189
45,210029340,12,2K0084M,5,,,,0,289.0,26,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,2.0,1.0,1.0,,,,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,590.0,5.193727861066118,1.0,1.0,0.0,2016,5,47941,0,0.0,0.0,,22.486772486772484,67.56756756756756,17.595307917888565,25.142857142857146,29.166666666666668,23.62204724409449,20.57142857142857,20.833333333333336,20.47244094488189
46,210029340,99,2K0084M,6,,,,0,280.0,313,0,207.0,0,0.0,0.0,0.0,0.0,0.0,1,,3,,,,,,2.0,1.0,1.0,5.147494476813453,99.0,1.0,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,590.0,5.193727861066118,1.0,1.0,0.0,2018,2,47941,0,0.0,0.0,0.0,6.814814814814815,,6.814814814814815,,,,,,
47,210029354,99,2K0084M,3,,,,0,,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,,,,,,,,,5.364401348336745,1.0596431139271056,2.0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,3.091042453358316,99.0,1.0,3.091042453358316,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,4,9999999,0,0.0,0.0,0.0,3.6363636363636362,9.803921568627452,2.5089605734767026,18.620689655172416,,18.620689655172416,10.344827586206897,,10.344827586206897
48,210029354,99,2K0084M,4,,,,0,283.0,278,0,168.0,0,0.0,0.0,0.0,0.0,0.0,1,,2,2.0,1.0,1.0,5.364401348336745,1.0596431139271056,3.0,1.0,1.0,,,,,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,1.0,101.0,4.61512051684126,0.0,0.0,0.0,1.0,452.0,6.113682179832232,1.0,1.0,0.0,1.0,22.0,3.091042453358316,0.0,0.0,0.0,2017,1,47941,0,1.0,,0.0,7.03125,,7.03125,,,,,,
49,210029354,99,2K0084M,4,,,,0,283.0,286,0,176.0,0,0.0,0.0,0.0,0.0,0.0,2,,3,2.0,1.0,1.0,5.364401348336745,1.0596431139271056,3.0,1.0,1.0,,,,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,1.0,101.0,4.61512051684126,0.0,0.0,0.0,1.0,452.0,6.113682179832232,1.0,1.0,0.0,1.0,22.0,3.091042453358316,0.0,0.0,0.0,2017,1,49851,0,0.0,0.0,0.0,7.421875,,7.421875,,,,,,
50,210029358,99,2K0084M,5,,,,0,285.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,,,,,,,,,,,,,0,0,2,1,0,0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,4,9999999,0,0.0,0.0,0.0,16.397849462365592,28.35820895522388,13.77049180327869,25.142857142857146,29.166666666666668,23.62204724409449,20.57142857142857,20.833333333333336,20.47244094488189
51,210029358,99,2K0084M,5,,,,0,285.0,144,0,38.0,0,0.0,0.0,0.0,0.0,0.0,2,,2,,,,,,,,,,,,,0,0,1,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1,6.5337888379333435,99.0,2.0,6.461175121739487,0.10269130225566299,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,9,"47941, 51755",0,0.0,0.0,0.0,17.86339754816112,31.57894736842105,16.342412451361866,,,,,,
52,210029358,99,2K0084M,5,,,,0,285.0,320,0,214.0,0,0.0,0.0,0.0,0.0,0.0,3,,3,2.0,2.0,2.0,6.461175121739487,0.10269130225566299,2.0,2.0,2.0,,,,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,1.0,595.0,6.38856140554563,1.0,1.0,0.0,,,,,,,1.0,688.0,6.5337888379333435,1.0,1.0,0.0,,,,,,,2017,3,"38696, 49851",0,0.0,0.0,0.0,3.8461538461538463,14.285714285714285,3.68763557483731,44.16058394160584,,44.16058394160584,37.591240875912405,,37.591240875912405
53,210029368,21,2K0084M,3,,,,0,,47,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,5.014707554566959,0.4967686208092257,2.0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,10,9999999,0,0.0,0.0,0.0,3.149606299212598,0.0,3.2388663967611335,,,,,,
54,210029368,12,2K0084M,4,,,,0,280.0,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,2.0,2.0,2.0,,,,,1,1,2,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,1,4.663439094112067,99.0,2.0,5.014707554566959,0.4967686208092257,,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4648.0,8.045273010488874,2.0,2.0,2.0,2015,8,47941,0,0.0,0.0,0.0,9.48509485094851,14.473684210526317,8.19112627986348,21.69811320754717,100.0,20.192307692307693,16.9811320754717,100.0,15.384615384615385
55,210029368,11,2K0084M,4,,,,0,280.0,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,2.0,2.0,2.0,,,,,1,1,2,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,1,4.663439094112067,99.0,2.0,5.014707554566959,0.4967686208092257,,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4648.0,8.045273010488874,2.0,2.0,2.0,2015,8,49851,0,,0.0,0.0,10.38961038961039,14.893617021276595,9.763313609467456,21.69811320754717,100.0,20.192307692307693,16.9811320754717,100.0,15.384615384615385
56,210029368,99,2K0084M,4,,,,0,280.0,349,0,297.0,0,0.0,0.0,0.0,0.0,0.0,2,,3,2.0,1.0,1.0,5.014707554566959,0.4967686208092257,4.0,3.0,3.0,,,,,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,2.0,214.0,5.014707554566959,1.0,1.0,0.0,2.0,4648.0,8.045273010488874,2.0,2.0,2.0,2016,8,51755,0,1.0,,0.0,3.4482758620689653,2.1739130434782608,4.285714285714286,,,,,,
57,210029368,99,2K0084M,4,,,,0,280.0,398,0,346.0,0,0.0,0.0,0.0,0.0,0.0,3,,4,2.0,1.0,1.0,5.014707554566959,0.4967686208092257,4.0,3.0,3.0,,,,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,2.0,214.0,5.014707554566959,1.0,1.0,0.0,2.0,4648.0,8.045273010488874,2.0,2.0,2.0,2016,9,49851,0,0.0,0.0,0.0,19.689119170984455,32.69230769230769,18.40607210626186,,,,,,
58,210029393,99,2K0084M,4,,,,0,286.0,98,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,,,,,,4.0,4.0,4.0,,,,,0,0,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1430.0,6.692635673075149,4.0,4.0,2.0,2016,12,9999999,0,1.0,,0.0,5.423728813559322,,5.423728813559322,38.2183908045977,100.0,38.04034582132565,31.60919540229885,100.0,31.412103746397698
59,210029393,99,2K0084M,4,,,,0,286.0,122,0,25.0,0,0.0,0.0,0.0,0.0,0.0,2,,2,,,,,,4.0,4.0,4.0,,,,,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1430.0,6.692635673075149,4.0,4.0,2.0,2017,1,49851,0,1.0,,0.0,3.898305084745763,,3.898305084745763,,,,,,
60,210029393,99,2K0084M,4,,,,0,286.0,177,0,80.0,0,0.0,0.0,0.0,0.0,0.0,3,,3,,,,,,4.0,4.0,4.0,,,,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1430.0,6.692635673075149,4.0,4.0,2.0,2017,2,49851,0,0.0,0.0,0.0,4.112554112554113,,4.112554112554113,44.16058394160584,,44.16058394160584,37.591240875912405,,37.591240875912405
61,210029514,11,2K0084M,6,,,,110,,40,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,4.582089218407371,1.3738332144551562,3.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,6,9999999,0,0.0,0.0,0.0,6.896551724137931,,6.896551724137931,,,,,,
62,210029514,22,2K0084M,7,,,,109,253.0,151,0,23.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,1.0,0.0,0.0,2.995732273553991,99.0,3.0,2.0,2.0,6.272877006546167,99.0,1.0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,5.3706380281276624,99.0,,0,,,,,,,,,,,,,1.0,20.0,2.995732273553991,0.0,0.0,0.0,,,,,,,2.0,425.0,5.925590911692471,2.0,2.0,0.0,2015,12,47941,0,0.0,0.0,1.0,1.3736263736263736,,1.3736263736263736,,,,,,
63,210029514,99,2K0084M,8,,,,101,276.0,289,0,184.0,0,0.0,0.0,0.0,0.0,0.0,1,,3,1.0,1.0,1.0,6.272877006546167,99.0,6.0,5.0,5.0,,,,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,1.0,530.0,6.272877006546167,1.0,1.0,0.0,5.0,425.0,5.119489895721411,4.0,4.0,0.0,2017,6,47941,0,0.0,0.0,0.0,28.235294117647058,0.0,28.368794326241137,,,,,,
65,210029573,99,2K0084M,7,,,,93,271.0,121,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,1.0,0.0,0.0,3.9318256327243257,99.0,3.0,1.0,0.0,,,,5,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,1.0,51.0,3.9318256327243257,0.0,0.0,0.0,,,,,,,2.0,153.0,4.632272212994847,1.0,0.0,0.0,2017,1,9999999,0,0.0,0.0,,3.898305084745763,,3.898305084745763,,,,,,
66,210029573,22,2K0084M,7,,,,93,271.0,344,0,39.0,0,0.0,0.0,0.0,0.0,0.0,2,1,2,1.0,0.0,0.0,3.9318256327243257,99.0,3.0,1.0,0.0,,,,5,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,1.0,51.0,3.9318256327243257,0.0,0.0,0.0,2.0,153.0,4.632272212994847,1.0,0.0,0.0,2017,8,49851,0,0.0,0.0,,1.4925373134328357,1.639344262295082,1.440922190201729,,,,,,
72,210029591,99,2K0084M,7,,,,70,281.0,148,0,48.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,1.0,1.0,1.0,5.429345628954441,99.0,2.0,1.0,1.0,,,,,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.332718793265369,99.0,1.0,5.332718793265369,99.0,,0,,,,,,,,,,,,,,,,,,,1.0,228.0,5.429345628954441,1.0,1.0,0.0,1.0,67.0,4.204692619390966,0.0,0.0,0.0,2016,8,9999999,0,0.0,0.0,0.0,10.647181628392484,10.76923076923077,10.628019323671497,,,,,,
75,210029646,21,2K0084M,7,,,,125,,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,4.120851579864909,0.23986173771219457,2.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,8,9999999,0,0.0,0.0,0.0,12.82051282051282,16.216216216216218,12.025316455696203,,,,,,
76,210029646,99,2K0084M,8,,,,120,279.0,306,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,2,2.0,0.0,0.0,4.120851579864909,0.23986173771219457,4.0,0.0,0.0,5.10594547390058,99.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,1.0,73.0,4.290459441148391,0.0,0.0,0.0,,,,,,,1.0,52.0,3.9512437185814275,0.0,0.0,0.0,2.0,39.0,3.4796992560669877,0.0,0.0,0.0,2016,6,47941,0,0.0,0.0,0.0,10.75268817204301,,10.75268817204301,,,,,,
77,210029683,22,2K0084M,7,,,,111,,408,0,112.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,3.0,1.0,0.0,4.599114171336184,0.8382543171485365,3.0,1.0,0.0,,,,1,0,0,2,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,6.760414691083428,99.0,1.0,6.760414691083428,99.0,,0,,,,,,,,,,,,,1.0,177.0,5.176149732573829,1.0,0.0,0.0,2.0,146.0,4.310596390717361,0.0,0.0,0.0,,,,,,,2015,10,9999999,0,1.0,1.0,,2.7522935779816518,0.0,2.771362586605081,,,,,,
78,210029683,22,2K0084M,7,,,,111,,420,0,124.0,0,0.0,0.0,0.0,0.0,0.0,2,2,2,3.0,1.0,0.0,4.599114171336184,0.8382543171485365,3.0,1.0,0.0,,,,1,0,0,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.760414691083428,99.0,1.0,6.760414691083428,99.0,,0,,,,,,,,,,,,,,,,,,,3.0,177.0,4.599114171336184,1.0,0.0,0.0,,,,,,,2015,10,49851,0,0.0,0.0,,1.834862385321101,0.0,1.839080459770115,23.046875,18.181818181818183,23.26530612244898,19.921875,18.181818181818183,20.0
80,210029683,99,2K0084M,8,,,,59,385.0,328,0,206.0,0,0.0,0.0,0.0,0.0,0.0,1,,4,,,,,,4.0,2.0,1.0,,,,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,863.0,5.139439301272994,2.0,1.0,0.0,2017,6,"49851, 47115",0,0.0,0.0,,14.003590664272892,5.555555555555555,14.285714285714285,,,,,,
83,210029726,11,2K0084M,6,,,,89,,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,5.9715925283177,2.645985092988895,3.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,9,9999999,0,0.0,0.0,1.0,6.521739130434782,5.714285714285714,6.666666666666667,,,,,,
