CowID,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N07687980,82.0,56,70.0,55,90.0,60,53.0,49,66.0,53,4
N07687981,66.0,56,56.0,55,61.0,60,59.0,49,61.0,53,3
N07687981,74.0,56,69.0,55,76.0,60,60.0,49,63.0,53,4
N07687981,74.0,56,69.0,55,76.0,60,53.0,49,59.0,53,4
N07687982,70.0,56,56.0,55,68.0,60,57.0,49,45.0,53,3
N07687985,19.0,56,44.0,55,48.0,60,56.0,49,50.0,53,3
N07687985,19.0,56,53.0,55,55.0,60,55.0,49,52.0,53,3
N07687985,19.0,56,61.0,55,61.0,60,56.0,49,47.0,53,3
N07687985,77.0,56,71.0,55,84.0,60,45.0,49,65.0,53,4
N07687985,77.0,56,72.0,55,89.0,60,44.0,49,73.0,53,4
N07687985,30.0,56,59.0,55,74.0,60,33.0,49,59.0,53,4
N07687987,18.0,56,38.0,55,63.0,60,47.0,49,23.0,53,3
N07687987,65.0,56,61.0,55,77.0,60,64.0,49,68.0,53,4
N07687987,80.0,56,68.0,55,82.0,60,60.0,49,63.0,53,4
N07687987,82.0,56,75.0,55,85.0,60,50.0,49,68.0,53,4
N07687987,83.0,56,78.0,55,88.0,60,64.0,49,58.0,53,4
N07687987,85.0,56,79.0,55,89.0,60,46.0,49,62.0,53,4
N07687987,89.0,56,84.0,55,90.0,60,34.0,49,66.0,53,4
N07687987,89.0,56,86.0,55,92.0,60,44.0,49,63.0,53,5
N07687987,89.0,56,86.0,55,92.0,60,63.0,49,63.0,53,5
N07690573,64.0,56,59.0,55,64.0,60,60.0,49,63.0,53,3
N07690574,19.0,56,22.0,55,22.0,60,50.0,49,52.0,53,3
N07690574,66.0,56,63.0,55,61.0,60,53.0,49,65.0,53,3
N07690574,17.0,56,49.0,55,55.0,60,62.0,49,19.0,53,3
N07690574,77.0,56,68.0,55,73.0,60,63.0,49,72.0,53,4
N07690574,84.0,56,76.0,55,80.0,60,37.0,49,58.0,53,4
N07690574,86.0,56,81.0,55,82.0,60,51.0,49,63.0,53,4
N07690574,86.0,56,81.0,55,83.0,60,60.0,49,55.0,53,4
N07693687,62.0,56,55.0,55,69.0,60,55.0,49,63.0,53,3
N07693687,67.0,56,62.0,55,70.0,60,66.0,49,69.0,53,3
N07693687,74.0,56,74.0,55,77.0,60,52.0,49,77.0,53,4
N07693687,82.0,56,79.0,55,82.0,60,54.0,49,74.0,53,4
N07693687,84.0,56,81.0,55,85.0,60,48.0,49,69.0,53,4
N07693689,57.0,56,50.0,55,57.0,60,48.0,49,58.0,53,3
N07693692,68.0,56,56.0,55,64.0,60,36.0,49,45.0,53,3
N07693694,23.0,56,32.0,55,28.0,60,45.0,49,24.0,53,2
N07693696,13.0,56,19.0,55,24.0,60,41.0,49,19.0,53,1
N07693696,12.0,56,20.0,55,24.0,60,45.0,49,17.0,53,1
N07693696,14.0,56,26.0,55,28.0,60,47.0,49,21.0,53,1
N07693696,77.0,56,70.0,55,76.0,60,61.0,49,69.0,53,4
N07693697,15.0,56,29.0,55,48.0,60,57.0,49,25.0,53,2
N07693697,69.0,56,63.0,55,75.0,60,31.0,49,60.0,53,4
N07693697,76.0,56,66.0,55,78.0,60,55.0,49,73.0,53,4
N07693697,76.0,56,66.0,55,78.0,60,51.0,49,68.0,53,4
N07693697,80.0,56,69.0,55,84.0,60,64.0,49,72.0,53,4
N07693697,85.0,56,79.0,55,88.0,60,56.0,49,71.0,53,4
N07693697,39.0,56,66.0,55,79.0,60,46.0,49,70.0,53,4
N07693698,30.0,56,29.0,55,36.0,60,58.0,49,56.0,53,3
N07693698,75.0,56,65.0,55,72.0,60,57.0,49,67.0,53,4
N07693699,62.0,56,55.0,55,43.0,60,53.0,49,58.0,53,3
N07693700,74.0,56,71.0,55,75.0,60,58.0,49,61.0,53,4
N07693702,65.0,56,58.0,55,72.0,60,41.0,49,44.0,53,4
N07700337,22.0,56,30.0,55,36.0,60,57.0,49,42.0,53,2
N07700338,25.0,56,34.0,55,49.0,60,41.0,49,32.0,53,2
N07700338,69.0,56,62.0,55,73.0,60,59.0,49,60.0,53,4
N07700338,75.0,56,74.0,55,80.0,60,55.0,49,73.0,53,4
N07700338,78.0,56,80.0,55,84.0,60,56.0,49,76.0,53,4
N07700338,84.0,56,79.0,55,87.0,60,59.0,49,73.0,53,4
N07700340,28.0,56,42.0,55,50.0,60,64.0,49,57.0,53,3
N07700340,76.0,56,70.0,55,82.0,60,65.0,49,64.0,53,4
N07700340,48.0,56,68.0,55,76.0,60,57.0,49,39.0,53,4
N07700340,88.0,56,63.0,55,87.0,60,57.0,49,34.0,53,4
N07700342,25.0,56,40.0,55,52.0,60,34.0,49,42.0,53,3
N07700342,69.0,56,65.0,55,72.0,60,57.0,49,62.0,53,4
N07700342,76.0,56,73.0,55,77.0,60,48.0,49,71.0,53,4
N07700342,76.0,56,73.0,55,77.0,60,52.0,49,71.0,53,4
N07700342,85.0,56,79.0,55,87.0,60,62.0,49,70.0,53,4
N07700342,86.0,56,85.0,55,90.0,60,51.0,49,68.0,53,4
N07700342,32.0,56,64.0,55,78.0,60,44.0,49,47.0,53,4
N07700342,91.0,56,87.0,55,90.0,60,51.0,49,61.0,53,5
N07700342,92.0,56,88.0,55,91.0,60,51.0,49,54.0,53,5
N07700344,56.0,56,47.0,55,66.0,60,28.0,49,55.0,53,3
N07700344,72.0,56,68.0,55,78.0,60,54.0,49,67.0,53,4
N07700344,77.0,56,77.0,55,82.0,60,56.0,49,69.0,53,4
N07700344,80.0,56,72.0,55,87.0,60,41.0,49,58.0,53,4
N07700346,68.0,56,56.0,55,60.0,60,58.0,49,63.0,53,3
N07700347,55.0,56,53.0,55,42.0,60,57.0,49,53.0,53,3
N07700347,66.0,56,61.0,55,62.0,60,54.0,49,53.0,53,3
N07700347,74.0,56,68.0,55,70.0,60,41.0,49,54.0,53,4
N07700347,78.0,56,75.0,55,79.0,60,27.0,49,26.0,53,4
N07700347,78.0,56,70.0,55,85.0,60,58.0,49,72.0,53,4
N07700347,82.0,56,79.0,55,89.0,60,46.0,49,76.0,53,4
N07700348,56.0,56,48.0,55,61.0,60,52.0,49,60.0,53,3
N07700348,73.0,56,64.0,55,77.0,60,32.0,49,54.0,53,4
N07700348,81.0,56,70.0,55,82.0,60,57.0,49,69.0,53,4
N07700348,81.0,56,70.0,55,82.0,60,57.0,49,69.0,53,4
N07700348,83.0,56,76.0,55,86.0,60,52.0,49,72.0,53,4
N07700348,89.0,56,81.0,55,88.0,60,59.0,49,66.0,53,4
N07700348,90.0,56,82.0,55,91.0,60,43.0,49,63.0,53,5
N07700349,49.0,56,43.0,55,57.0,60,50.0,49,50.0,53,3
N07700349,68.0,56,64.0,55,71.0,60,49.0,49,71.0,53,4
N07703004,43.0,56,47.0,55,49.0,60,47.0,49,58.0,53,3
N07703004,51.0,56,67.0,55,68.0,60,50.0,49,63.0,53,3
N07703004,66.0,56,76.0,55,79.0,60,53.0,49,67.0,53,4
N07703004,84.0,56,82.0,55,91.0,60,60.0,49,70.0,53,5
N07703004,84.0,56,78.0,55,91.0,60,60.0,49,67.0,53,5
N07703011,63.0,56,53.0,55,52.0,60,44.0,49,47.0,53,3
N07703011,69.0,56,63.0,55,74.0,60,35.0,49,58.0,53,4
N07703011,82.0,56,66.0,55,76.0,60,50.0,49,67.0,53,4
N07703011,86.0,56,75.0,55,86.0,60,55.0,49,67.0,53,4
N07703011,87.0,56,79.0,55,88.0,60,47.0,49,68.0,53,4
N07703011,87.0,56,79.0,55,88.0,60,54.0,49,66.0,53,4
N07705624,74.0,56,60.0,55,76.0,60,48.0,49,42.0,53,4
N08726986,72.0,56,54.0,55,72.0,60,33.0,49,39.0,53,4
N08726988,11.0,56,29.0,55,34.0,60,51.0,49,11.0,53,2
N08726991,14.0,56,22.0,55,41.0,60,52.0,49,19.0,53,2
N08726991,77.0,56,67.0,55,76.0,60,65.0,49,68.0,53,4
N08726991,82.0,56,76.0,55,82.0,60,43.0,49,60.0,53,4
N08726992,56.0,56,53.0,55,49.0,60,56.0,49,60.0,53,3
N08726992,71.0,56,68.0,55,60.0,60,56.0,49,67.0,53,4
N08726992,80.0,56,77.0,55,69.0,60,53.0,49,72.0,53,4
N08726992,83.0,56,76.0,55,74.0,60,52.0,49,74.0,53,4
N08726992,84.0,56,78.0,55,76.0,60,54.0,49,70.0,53,4
N08726993,70.0,56,54.0,55,63.0,60,55.0,49,43.0,53,3
N08726993,70.0,56,55.0,55,67.0,60,59.0,49,52.0,53,3
N08726993,79.0,56,66.0,55,73.0,60,54.0,49,55.0,53,4
N08726993,84.0,56,76.0,55,74.0,60,54.0,49,57.0,53,4
N08726995,57.0,56,54.0,55,55.0,60,59.0,49,57.0,53,3
N08726996,59.0,56,64.0,55,44.0,60,66.0,49,58.0,53,3
N08726997,54.0,56,53.0,55,49.0,60,44.0,49,51.0,53,3
N08726998,19.0,56,31.0,55,28.0,60,53.0,49,37.0,53,2
N08726998,22.0,56,40.0,55,37.0,60,63.0,49,28.0,53,2
N08727003,14.0,56,31.0,55,36.0,60,60.0,49,40.0,53,2
N08727004,13.0,56,27.0,55,26.0,60,53.0,49,31.0,53,2
N08727004,61.0,56,43.0,55,49.0,60,29.0,49,49.0,53,3
N08727004,68.0,56,60.0,55,61.0,60,49.0,49,55.0,53,3
N08727004,75.0,56,58.0,55,57.0,60,49.0,49,59.0,53,4
N08727005,50.0,56,53.0,55,55.0,60,51.0,49,66.0,53,3
N08727005,57.0,56,63.0,55,68.0,60,45.0,49,70.0,53,3
N08727006,78.0,56,70.0,55,78.0,60,64.0,49,67.0,53,4
N08727006,81.0,56,73.0,55,84.0,60,60.0,49,63.0,53,4
N08727006,85.0,56,80.0,55,87.0,60,56.0,49,74.0,53,4
N08727008,37.0,56,45.0,55,36.0,60,49.0,49,58.0,53,3
N08727012,50.0,56,40.0,55,37.0,60,25.0,49,48.0,53,3
N08727013,66.0,56,59.0,55,60.0,60,61.0,49,65.0,53,3
N08727013,73.0,56,72.0,55,72.0,60,62.0,49,66.0,53,4
N08727016,45.0,56,49.0,55,41.0,60,58.0,49,52.0,53,3
N08727016,47.0,56,49.0,55,41.0,60,58.0,49,51.0,53,3
N08727016,60.0,56,62.0,55,60.0,60,48.0,49,55.0,53,3
N08727016,79.0,56,67.0,55,71.0,60,53.0,49,46.0,53,4
N08730608,15.0,56,30.0,55,51.0,60,39.0,49,26.0,53,3
N08730609,19.0,56,43.0,55,53.0,60,47.0,49,44.0,53,3
N08730609,75.0,56,69.0,55,77.0,60,65.0,49,71.0,53,4
N08730612,57.0,56,54.0,55,60.0,60,57.0,49,62.0,53,3
N08730613,10.0,56,21.0,55,24.0,60,50.0,49,32.0,53,2
N08730613,11.0,56,22.0,55,31.0,60,58.0,49,29.0,53,2
N08730613,81.0,56,65.0,55,78.0,60,55.0,49,64.0,53,4
N08730613,81.0,56,62.0,55,74.0,60,60.0,49,66.0,53,4
N08730613,84.0,56,74.0,55,85.0,60,46.0,49,68.0,53,4
N08730613,87.0,56,80.0,55,92.0,60,42.0,49,53.0,53,5
N08730613,89.0,56,82.0,55,93.0,60,47.0,49,24.0,53,5
N08730614,65.0,56,55.0,55,65.0,60,56.0,49,56.0,53,3
N08730615,83.0,56,73.0,55,87.0,60,30.0,49,54.0,53,4
N08730615,85.0,56,78.0,55,86.0,60,31.0,49,56.0,53,4
N08730623,67.0,56,53.0,55,52.0,60,60.0,49,51.0,53,3
N08730624,61.0,56,52.0,55,60.0,60,63.0,49,62.0,53,3
N08730633,14.0,56,34.0,55,45.0,60,54.0,49,35.0,53,2
N08730633,62.0,56,56.0,55,66.0,60,44.0,49,57.0,53,3
N08730633,72.0,56,66.0,55,75.0,60,61.0,49,74.0,53,4
N08730633,81.0,56,76.0,55,80.0,60,66.0,49,72.0,53,4
N08730633,83.0,56,80.0,55,85.0,60,59.0,49,69.0,53,4
N08730633,85.0,56,82.0,55,87.0,60,52.0,49,70.0,53,4
N08730633,85.0,56,82.0,55,87.0,60,57.0,49,67.0,53,4
N08730633,85.0,56,79.0,55,89.0,60,50.0,49,67.0,53,4
N08730633,85.0,56,79.0,55,90.0,60,46.0,49,67.0,53,4
N08730635,64.0,56,50.0,55,44.0,60,36.0,49,46.0,53,3
N08730635,76.0,56,66.0,55,67.0,60,56.0,49,52.0,53,4
N08730636,59.0,56,50.0,55,56.0,60,55.0,49,65.0,53,3
